,Apple,Black-grass,Blueberry,Charlock,Cherry,Cleavers,Common Chickweed,Common wheat,Corn,Fat Hen,Grape,Loose Silky-bent,Maize,Orange,Peach,"Pepper,",Potato,Raspberry,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Soybean,Squash,Strawberry,Sugar beet,Tomato
Apple,0.9162717219589257,0.0,0.018957345971563982,0.0,0.007898894154818325,0.0,0.0,0.0,0.001579778830963665,0.0,0.011058451816745656,0.0,0.0,0.0,0.01579778830963665,0.001579778830963665,0.001579778830963665,0.0,0.0,0.0,0.0,0.00315955766192733,0.00631911532385466,0.00315955766192733,0.0,0.01263823064770932
Black-grass,0.0,0.9032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blueberry,0.0033222591362126247,0.0,0.9933554817275747,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlock,0.0,0.0,0.0,0.967032967032967,0.0,0.01098901098901099,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherry,0.015706806282722512,0.0,0.0,0.0,0.9162303664921466,0.0,0.0,0.0,0.002617801047120419,0.0,0.007853403141361256,0.0,0.0,0.013089005235602094,0.010471204188481676,0.013089005235602094,0.005235602094240838,0.0,0.0,0.0,0.0,0.005235602094240838,0.007853403141361256,0.0,0.0,0.002617801047120419
Cleavers,0.0,0.0,0.0,0.05970149253731343,0.0,0.8656716417910447,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.014925373134328358,0.0,0.0,0.0,0.014925373134328358,0.0
Common Chickweed,0.0,0.0,0.0,0.0,0.0,0.0,0.8671328671328671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013986013986013986,0.0979020979020979,0.02097902097902098,0.0,0.0,0.0,0.0,0.0
Common wheat,0.0,0.058823529411764705,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0392156862745098,0.0
Corn,0.0025940337224383916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883268482490273,0.0,0.0,0.0038910505836575876,0.0,0.0,0.0,0.0012970168612191958,0.0,0.0,0.0012970168612191958,0.0,0.0,0.0,0.0012970168612191958,0.0,0.0,0.0012970168612191958
Fat Hen,0.0,0.009259259259259259,0.0,0.027777777777777776,0.0,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.0,0.8611111111111112,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.027777777777777776,0.0
Grape,0.0024600246002460025,0.0,0.0,0.0,0.0012300123001230013,0.0,0.0,0.0,0.0,0.0,0.955719557195572,0.0,0.0,0.0012300123001230013,0.0012300123001230013,0.0024600246002460025,0.00984009840098401,0.0024600246002460025,0.0,0.0,0.0,0.0024600246002460025,0.0,0.007380073800738007,0.0,0.013530135301353014
Loose Silky-bent,0.0,0.20261437908496732,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.026143790849673203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
